playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Derrick White,NBA,NBA,236.8,,,,,,,
Jarrett Allen,NBA,NBA,236.1,,,,,,,
Dyson Daniels,NBA,NBA,234.3,,,,,,,
Desmond Bane,NBA,NBA,234.1,,,,,,,
De'Aaron Fox,NBA,NBA,233.5,,,,,,,
Michael Porter Jr.,NBA,NBA,228.2,,,,,,,
Coby White,NBA,NBA,226.8,,,,,,,
Josh Giddey,NBA,NBA,226.6,,,,,,,
Anthony Davis,NBA,NBA,226.6,,,,,,,
Scottie Barnes,NBA,NBA,222.2,,,,,,,
OG Anunoby,NBA,NBA,221.6,,,,,,,
Jaylen Brown,NBA,NBA,218.2,,,,,,,
Payton Pritchard,NBA,NBA,216.1,,,,,,,
Franz Wagner,NBA,NBA,215.3,,,,,,,
Tyrese Maxey,NBA,NBA,211.8,,,,,,,
Julius Randle,NBA,NBA,211.5,,,,,,,
Jalen Duren,NBA,NBA,211.2,,,,,,,
Christian Braun,NBA,NBA,210.7,,,,,,,
Amen Thompson,NBA,NBA,209.5,,,,,,,
Victor Wembanyama,NBA,NBA,206.6,,,,,,,
Onyeka Okongwu,NBA,NBA,204.9,,,,,,,
Rudy Gobert,NBA,NBA,203.7,,,,,,,
Anfernee Simons,NBA,NBA,202.9,,,,,,,
Chris Paul,NBA,NBA,202.6,,,,,,,
Deni Avdija,NBA,NBA,201.9,,,,,,,
Brook Lopez,NBA,NBA,200.6,,,,,,,
Naz Reid,NBA,NBA,199.1,,,,,,,
Jordan Poole,NBA,NBA,197.2,,,,,,,
Miles Bridges,NBA,NBA,196.6,,,,,,,
Malik Beasley,NBA,NBA,196.2,,,,,,,
Myles Turner,NBA,NBA,192,,,,,,,
Kyrie Irving,NBA,NBA,191.5,,,,,,,
Jaden McDaniels,NBA,NBA,189.3,,,,,,,
RJ Barrett,NBA,NBA,188.2,,,,,,,
Stephon Castle,NBA,NBA,186.5,,,,,,,
Russell Westbrook,NBA,NBA,185.7,,,,,,,
Malik Monk,NBA,NBA,185.5,,,,,,,
Shaedon Sharpe,NBA,NBA,185.2,,,,,,,
Jimmy Butler III,NBA,NBA,184.9,,,,,,,
Ja Morant,NBA,NBA,180,,,,,,,
LaMelo Ball,NBA,NBA,179.6,,,,,,,
Quentin Grimes,NBA,NBA,178.6,,,,,,,
Dennis Schroder,NBA,NBA,178.6,,,,,,,
Tyus Jones,NBA,NBA,178.4,,,,,,,
Paolo Banchero,NBA,NBA,178.2,,,,,,,
Norman Powell,NBA,NBA,177.7,,,,,,,
Toumani Camara,NBA,NBA,177.4,,,,,,,
CJ McCollum,NBA,NBA,174.9,,,,,,,
Keegan Murray,NBA,NBA,174.2,,,,,,,
Tobias Harris,NBA,NBA,173.3,,,,,,,
Keyonte George,NBA,NBA,171.4,,,,,,,
Andrew Wiggins,NBA,NBA,170.9,,,,,,,
Trey Murphy III,NBA,NBA,170.8,,,,,,,
Devin Vassell,NBA,NBA,170.3,,,,,,,
Jakob Poeltl,NBA,NBA,170.1,,,,,,,
Fred VanVleet,NBA,NBA,169.7,,,,,,,
Harrison Barnes,NBA,NBA,167.8,,,,,,,
Cameron Johnson,NBA,NBA,167.6,,,,,,,
Walker Kessler,NBA,NBA,167.5,,,,,,,
Spencer Dinwiddie,NBA,NBA,166.2,,,,,,,
Scotty Pippen Jr.,NBA,NBA,165,,,,,,,
Bennedict Mathurin,NBA,NBA,163.4,,,,,,,
Nicolas Claxton,NBA,NBA,160.8,,,,,,,
